No,Sample_no,test_Temp,test_Humid,test_pH,test_N,test_P,test_K,test_Salinity,test_Conductivity,lab_pH,lab_N,lab_P,lab_K,lab_EC,mobi_pH,mobi_N,mobi_P,mobi_K,kit_pH,kit_N,kit_P,kit_K,sim_pH,sim_N,sim_P,sim_K
4,734/1,23.1,49,6.9,0,27,19,79,145,4.4,0.06,5,50,0.0335,4.4,0.06,9,9,5,0.07,3,30,6.8,0.005,4,50
7,734/2,22.9,46.8,6,0,27,19,79,145,4.3,0.06,5,51,0.0351,4.3,0.06,9,8,5,0.07,3,30,6.8,0.005,4,50
10,734/3,22.7,46.8,5.9,0,27,19,79,145,4.3,0.055,5,51,0.0361,4.3,0.055,8,8,5,0.07,3,30,6.8,0.005,4,50
13,739/1,22.7,49.5,7.3,0,26,18,78,144,5.8,0.09,2,83,0.0249,5.8,0.09,5,14,5.5,0.07,3,45.5,7,0.005,4,50
16,739/2,22.4,49,6.2,0,26,18,79,144,5.5,0.085,2,89,0.0273,5.5,0.085,5,13,5.5,0.07,3,45.5,7,0.005,4,50
19,739/3,22.4,49,6.7,0,26,18,79,144,5.6,0.085,2,89,0.0221,5.6,0.085,5,15,5.5,0.07,3,45.5,7,0.005,4,50
22,782/1,21.9,49.5,5.4,0,26,18,78,143,4.8,0.07,124,26,0.0269,4.8,0.07,155,6,5,0.05,18,30,6.8,0.005,4,50
25,782/2,21.8,49,5.6,0,26,18,78,143,4.8,0.07,122,30,0.026,4.8,0.07,153,5,5,0.05,18,30,7,0.005,4,50
28,782/3,21.9,47.9,5.5,0,26,18,78,143,4.9,0.075,131,29,0.0252,4.9,0.075,156,5,5,0.05,18,30,6.7,0.005,4,50
31,784/1,21.8,46.7,6.7,1,49,41,105,191,5.4,0.11,2,71,0.1088,5.4,0.11,7,11,6,0.12,3,30,7,0.005,4,50
34,784/2,21.7,48.1,6.8,1,50,42,106,193,5.5,0.105,2,77,0.1087,5.5,0.105,8,12,6,0.12,3,30,7,0.005,4,50
37,784/3,21.1,49,6.5,2,51,43,107,195,5.5,0.11,2,76,0.1112,5.5,0.11,8,12,6,0.12,3,30,7,0.005,4,50
40,785/1,21.4,49.5,5.1,0,22,14,74,136,5.0,0.035,2,25,0.01266,5,0.035,5,5,5,0.05,3,30,7,0.005,4,50
43,785/2,20.8,52.8,5.6,0,22,14,74,136,5.2,0.03,2,26,0.01398,5.2,0.03,5,5,5,0.05,3,30,7,0.005,4,50
46,785/3,20.6,49,5.4,0,22,14,74,136,5.0,0.03,2,27,0.01408,5,0.03,5,5,5,0.05,3,30,7,0.005,4,50
49,788/1,20.8,49.5,5.1,0,45,37,100,182,5.3,0.065,12,92,0.0894,5.3,0.065,21,13,6,0.07,6.5,45.5,7,0.005,4,50
52,788/2,20.7,48.2,5.9,0,44,36,99,180,5.5,0.07,11,100,0.0891,5.5,0.07,18,14,6,0.07,6.5,45.5,7,0.005,4,50
55,788/3,20.6,49.6,5.3,0,45,37,100,182,5.5,0.065,10,100,0.0824,5.5,0.065,18,14,6,0.07,6.5,45.5,7,0.005,4,50
58,791/1,20.6,48.2,6.4,0,34,26,55,160,5.6,0.065,13,130,0.0476,5.6,0.065,17,24,6,0.07,6.5,45.5,7,0.005,4,50
61,791/2,21.4,49.7,5.8,0,34,27,88,161,5.7,0.075,13,130,0.047,5.7,0.075,14,23,6,0.07,6.5,45.5,6.8,0.005,4,50
64,791/3,20.8,49,6.2,0,34,27,88,161,5.9,0.075,15,140,0.0476,5.9,0.075,15,24,6,0.07,6.5,45.5,7,0.005,4,50
67,793/1,20.8,49.8,6.3,0,35,28,89,163,6.0,0.1,6,60,0.0444,6,0.1,6,12,6.5,0.07,6.5,45.5,6.7,0.005,4,50
70,793/2,21.1,49,7.2,0,35,28,89,163,6.2,0.095,6,65,0.0426,6.2,0.095,6,13,6.5,0.07,3,45.5,6.6,0.005,4,50
73,793/3,21.1,49.4,6.8,0,35,28,89,163,6.3,0.1,7,64,0.0476,6.3,0.1,6,11,6.5,0.07,3,45.5,6.6,0.005,4,50
76,822/1,20.8,51.6,7.2,0,37,29,91,167,6.2,0.135,9,95,0.0319,6.2,0.135,13,16,6.5,0.12,6.5,45.5,7,0.005,4,50
79,822/2,20.9,56.3,6.8,0,37,29,91,167,6.2,0.15,10,110,0.0321,6.2,0.15,15,16,6.5,0.12,6.5,45.5,7,0.005,4,50
82,822/3,21.6,54,7.3,0,38,30,92,168,6.2,0.16,10,100,0.0324,6.2,0.16,14,16,6.5,0.12,6.5,45.5,7,0.005,4,50
85,833/1,21,51.6,6.1,0,23,15,75,138,5.0,0.06,6,12,0.01865,5,0.06,3,4,5.5,0.05,3,30,7,0.005,4,50
88,833/2,21.1,50.6,5.5,0,23,15,75,138,5.2,0.06,6,12,0.01876,5.2,0.06,3,4,5.5,0.05,3,30,7,0.005,4,50
91,833/3,21,50.8,5.5,0,23,15,75,138,5.1,0.055,6,12,0.01881,5.1,0.055,3,4,5.5,0.05,3,30,7,0.005,4,50
94,834/1,20.5,46.8,5.7,2,51,44,107,196,5.5,0.165,6,35,0.0954,5.5,0.165,3,7,6,0.12,3,45.5,7.4,0.005,4,50
97,834/2,20.6,48.1,5.6,2,52,44,108,197,5.5,0.16,6,37,0.0925,5.5,0.16,3,7,6,0.12,3,45.5,7,0.005,4,50
100,834/3,21.2,48.1,5.5,2,52,45,109,198,5.6,0.165,6,38,0.0953,5.6,0.165,3,7,6,0.12,3,45.5,7,0.005,4,50
103,835/1,51.7,49.3,6,0,25,17,77,141,5.3,0.04,5,30,0.0192,5.3,0.04,1,6,5,0.05,3,30,7,0.005,4,50
106,835/2,28.4,55.8,5.9,0,26,18,78,143,5.3,0.045,5,34,0.01903,5.3,0.045,1,6,5,0.05,3,30,7,0.005,4,50
109,835/3,27.6,54.4,6.1,0,26,18,78,143,5.3,0.045,5,34,0.01479,5.3,0.045,1,6,5,0.05,3,30,7,0.005,4,50
112,901/1,28.2,59.1,6.7,19,90,82,151,21,4.7,0.18,9,190,0.1845,4.7,0.18,2,20,5,0.07,3,45.5,6.8,0.005,4,50
115,901/2,28.2,54,6.3,17,86,78,146,12,4.7,0.18,9,180,0.177,4.7,0.18,2,19,5,0.07,3,45.5,6.8,0.005,4,50
118,901/3,28.5,56.9,5.8,18,89,82,151,20,4.7,0.18,10,170,0.1778,4.7,0.18,2,20,5,0.07,3,45.5,6.8,0.005,4,50
121,902/1,28.3,57.7,6.7,23,99,92,162,41,5.6,0.21,26,180,0.152,5.6,0.21,4,22,6,0.12,3,45.5,7,0.005,4,50
124,902/2,28.1,54,6.7,21,95,87,157,31,5.6,0.205,23,160,0.1523,5.6,0.205,4,23,6,0.12,3,45.5,7,0.005,4,50
127,902/3,28.1,56.9,6.7,23,100,93,163,44,5.6,0.215,23,170,0.1605,5.6,0.215,4,21,6,0.12,3,45.5,7,0.005,4,50
130,904/1,28.3,61.8,6.1,26,106,99,170,55,5.3,0.185,4,250,0.195,5.3,0.185,1,29,5,0.07,3,45.5,6.8,0.005,4,50
133,904/2,28.7,69.5,6.2,27,109,101,173,60,5.3,0.18,4,240,0.1949,5.3,0.18,1,29,5,0.07,3,45.5,6.8,0.005,4,50
136,904/3,28.5,64.6,6.2,26,107,99,171,56,5.1,0.18,4,240,0.1873,5.1,0.18,1,27,5,0.07,3,45.5,6.8,0.005,4,50
139,905/1,28.4,61.5,7.1,51,166,158,238,178,5.8,0.17,9,250,0.3,5.8,0.17,1,28,5.5,0.12,3,45.5,7,0.0125,9,125
142,905/2,28.4,69.3,7.3,54,173,166,246,193,5.7,0.185,9,240,0.261,5.7,0.185,1,28,5.5,0.12,3,45.5,7,0.0125,9,125
145,905/3,28.5,58.5,7.3,50,163,156,235,173,5.7,0.185,8,240,0.3003,5.7,0.185,1,27,5.5,0.12,3,45.5,7,0.0125,9,125
148,906/1,28.7,54.8,6.5,17,86,79,147,14,5.2,0.13,31,220,0.1548,5.2,0.13,7,30,5.5,0.05,3,75.5,6.8,0.005,4,50
151,906/2,28.9,58.5,6.3,18,89,82,150,19,5.2,0.13,27,220,0.1543,5.2,0.13,6,30,5.5,0.05,3,45.5,6.8,0.005,4,50
157,906/3,28.7,53.4,6.3,18,88,80,149,17,5.1,0.135,29,220,0.1603,5.1,0.135,6,30,5.5,0.05,3,45.5,6.8,0.005,4,50
160,907/1,28.7,50.3,5.4,30,115,108,180,74,4.5,0.235,14,210,0.284,4.5,0.235,5,21,4,0.12,3,45.5,6.8,0.0125,9,125
163,907/2,28.9,48.1,5.6,26,107,99,171,57,4.4,0.23,13,200,0.285,4.4,0.23,4,22,4,0.12,3,45.5,6.8,0.005,4,50
166,907/3,29.9,63.6,4.2,33,124,117,190,92,4.3,0.235,14,200,0.286,4.3,0.235,4,20,4,0.12,3,30,6.8,0.0125,9,125
169,917/1,29.5,56.9,5.2,74,216,210,42,31,4.5,0.16,5,180,0.472,4.5,0.16,2,18,5,0.05,3,45.5,7,0.0125,9,125
172,917/2,29.5,56,5.3,70,209,203,33,21,4.6,0.16,5,160,0.471,4.6,0.16,2,18,5,0.05,3,45.5,6.7,0.0125,9,125
175,917/3,29.3,59.7,5.3,71,212,205,35,19,4.5,0.165,5,150,0.782,4.5,0.165,2,18,5,0.05,3,45.5,6.8,0.0125,9,125
178,918/1,29.3,62,5.3,56,175,169,249,199,4.7,0.205,17,160,0.378,4.7,0.205,3,21,5,0.12,3,45.5,6.6,0.0125,9,125
181,918/2,29.3,64,5.6,55,175,168,248,196,4.6,0.2,19,150,0.364,4.6,0.2,3,20,5,0.12,3,45.5,6.8,0.0125,9,125
184,918/3,29,60.7,5.7,56,175,169,249,198,4.6,0.21,18,150,0.369,4.6,0.21,3,21,5,0.12,3,45.5,6.5,0.0125,9,125
187,919/1,28.9,53.2,5.8,3,54,46,110,201,4.5,0.135,13,130,0.0997,4.5,0.135,5,19,5,0.05,3,75.5,6.8,0.005,4,50
190,919/2,28.7,53.4,5.7,3,55,47,111,203,4.5,0.13,13,130,0.1057,4.5,0.13,5,19,5,0.05,3,75.5,6.6,0.005,4,50
193,919/3,28.6,53.4,5.7,4,55,47,112,204,4.5,0.13,13,130,0.1072,4.5,0.13,5,18,5,0.05,3,75.5,6.8,0.005,4,50
196,920/1,29,51.8,5.2,27,110,103,175,53,4.1,0.165,7,250,0.285,4.1,0.165,1,27,4.5,0.07,3,75.5,6.4,0.0125,9,125
199,920/2,28.9,59.5,5.4,30,117,110,182,77,3.9,0.145,7,250,0.285,3.9,0.145,1,27,4.5,0.07,3,75.5,6.4,0.0125,9,125
202,920/3,28.8,60.7,5.4,32,120,113,186,84,4.0,0.165,8,250,0.28,4,0.165,1,29,4.5,0.07,3,75.5,6.6,0.0125,9,125
205,921/1,28.8,58.5,5.9,20,94,87,156,30,4.7,0.24,15,220,0.1808,4.7,0.24,4,28,5,0.07,3,75.5,6.8,0.005,4,50
208,921/2,28.9,60.7,5.9,22,98,90,160,36,4.7,0.24,16,210,0.1735,4.7,0.24,4,27,5,0.07,3,75.5,6.7,0.005,4,50
211,921/3,30.6,56.9,4.9,18,90,82,151,21,4.7,0.235,17,220,0.1766,4.7,0.235,4,28,5,0.07,3,75.5,6.8,0.0125,9,125
214,925/1,30,57.9,7.7,0,37,29,91,166,6.7,0.11,84,210,0.0395,6.7,0.11,103,36,7.5,0.07,35.5,75.5,6.8,0.005,4,50
217,925/2,29.6,49.2,9,0,37,29,91,167,7.1,0.1,80,220,0.0432,7.1,0.1,97,35,7.5,0.07,35.5,75.5,7,0.005,4,50
220,925/3,29.1,44.8,9,0,31,24,85,155,7.1,0.095,96,210,0.0432,7.1,0.095,88,34,7.5,0.07,35.5,75.5,6.8,0.005,4,50
223,971/1,29.9,58.5,6.1,89,254,248,83,106,4.5,0.175,7,71,0.551,4.5,0.175,1,10,5,0.12,3,45.5,6.3,0.0125,9,125
226,971/2,29.7,54.4,5.3,89,255,249,86,111,4.5,0.185,7,70,0.552,4.5,0.185,1,11,5,0.12,3,45.5,6.3,0.0125,9,125
229,971/3,29.3,49.4,5.3,81,234,228,51,66,4.4,0.18,6,69,0.524,4.4,0.18,1,11,5,0.12,3,45.5,6.2,0.0125,9,125
232,974/1,29.1,51.8,7.8,0,32,24,85,156,6.3,0.075,5,39,0.0303,6.3,0.075,3,8,6.5,0.05,3,30,7,0.005,4,50
235,974/2,29,54.4,8,0,31,24,85,155,6.2,0.07,5,36,0.0301,6.2,0.07,3,7,6.5,0.05,3,30,7,0.005,4,50
238,974/3,29.2,54.2,8.1,0,32,24,85,156,6.4,0.065,5,33,0.0304,6.4,0.065,3,7,6.5,0.05,3,30,7,0.005,4,50
241,980/1,29,64.6,7.3,0,27,19,80,146,5.1,0.055,15,19,0.01107,5.1,0.055,9,4,4.5,0.05,6.5,30,6.8,0.005,4,50
244,980/2,28.9,63.4,6.5,0,27,19,80,146,4.9,0.06,15,22,0.01157,4.9,0.06,9,4,4.5,0.05,6.5,30,6.8,0.005,4,50
247,980/3,28.7,58.9,6.1,0,29,21,81,150,5.0,0.06,13,22,0.01038,5,0.06,10,4,4.5,0.05,6.5,30,6.8,0.005,4,50
250,986/1,28.8,57.9,5.8,0,22,14,74,136,4.9,0.055,3,27,0.01549,4.9,0.055,4,4,4.5,0.05,3,30,7,0.005,4,50
253,986/2,28.9,53.2,5.8,0,22,14,74,136,4.6,0.05,3,26,0.01567,4.6,0.05,4,4,4.5,0.05,3,30,7,0.005,4,50
256,986/3,29,56.5,5.6,0,22,14,74,136,4.8,0.055,3,30,0.01523,4.8,0.055,4,4,4.5,0.05,3,30,7,0.005,4,50
259,988/1,29,49,4.8,3,54,47,111,203,4.0,0.07,4,27,0.1531,4,0.07,1,5,4,0.05,3,30,6.2,0.005,4,50
262,988/2,29.3,50.6,5.3,4,56,48,112,205,3.9,0.08,4,28,0.1533,3.9,0.08,1,5,4,0.05,3,30,6,0.005,4,50
265,988/3,29,49,5.4,2,52,44,108,197,3.9,0.08,4,26,0.1328,3.9,0.08,1,5,4,0.05,3,30,6.1,0.005,4,50
268,992/1,29.4,53.8,6.8,0,25,17,78,141,4.5,0.05,7,29,0.0238,4.5,0.05,3,6,4,0.05,3,30,6.8,0.005,4,50
271,992/2,31.3,56.5,6,0,25,17,77,141,4.4,0.05,7,33,0.0238,4.4,0.05,3,6,4,0.05,3,30,6.8,0.005,4,50
274,992/3,30.9,50.6,6.3,0,24,16,77,140,4.4,0.05,8,31,0.0231,4.4,0.05,3,6,4,0.05,3,30,6.8,0.005,4,50
277,994/1,30.8,58.5,7,0,22,14,74,135,5.3,0.07,3,70,0.01136,5.3,0.07,3,14,5,0.05,3,30,7,0.005,4,50
280,994/2,30.6,57.9,7.5,0,22,14,74,135,5.3,0.08,3,81,0.01307,5.3,0.08,3,14,5,0.05,3,30,7,0.005,4,50
283,994/3,30.5,56.5,7.6,0,22,14,74,136,5.4,0.08,3,79,0.01243,5.4,0.08,3,14,5,0.05,3,30,7,0.005,4,50
286,998/1,30.2,81.9,7.1,77,48,46,211,245,5.6,0.155,26,400,1.28,5.6,0.155,4,49,6,0.07,3,75.5,7,0.0125,9,125
289,998/2,30.2,84.8,7,86,67,65,237,37,5.7,0.165,26,360,1.398,5.7,0.165,4,49,6,0.07,3,75.5,7,0.0125,9,125
292,998/3,29.9,83.6,7.1,83,63,62,231,27,5.9,0.165,25,360,1.38,5.9,0.165,4,49,6,0.07,3,75.5,7.4,0.0125,9,125
295,999/1,29.9,53.2,6.9,52,166,159,238,179,5.6,0.175,40,84,0.337,5.6,0.175,10,16,6,0.12,6.5,45.5,7,0.0125,9,125
298,999/2,29.9,46.3,6.7,42,145,138,214,135,5.8,0.195,44,82,0.348,5.8,0.195,10,16,6,0.12,6.5,45.5,7,0.005,4,50
301,999/3,30,53.4,6.8,53,169,162,242,185,5.8,0.185,39,83,0.349,5.8,0.185,11,16,6,0.12,6.5,45.5,7,0.0125,9,125
304,1000/1,29.7,54.4,6.9,0,47,40,103,188,5.6,0.11,28,49,0.0916,5.6,0.11,27,10,5,0.07,6.5,30,7,0.005,4,50
310,1000/2,29.6,64.2,7.1,1,49,42,105,192,5.7,0.1,29,51,0.0907,5.7,0.1,24,10,5,0.07,6.5,30,7,0.005,4,50
313,1000/3,29.6,49.8,7.4,0,44,36,99,180,5.6,0.1,32,51,0.0902,5.6,0.1,23,9,5,0.07,6.5,30,7,0.005,4,50
316,1001/1,32.2,52.8,6.7,74,217,211,42,31,5.4,0.105,6,60,0.361,5.4,0.105,2,10,5.5,0.07,3,30,7,0.0125,9,125
319,1001/2,31.8,53.4,6.7,81,234,227,60,64,5.6,0.11,6,62,0.363,5.6,0.11,2,10,5.5,0.07,3,30,7,0.0125,9,125
322,1001/3,31.2,56,6.8,81,235,229,62,67,5.5,0.11,6,60,0.44,5.5,0.11,2,10,5.5,0.07,3,30,6.7,0.0125,9,125
325,1020/1,31,61.6,7.5,2,52,44,108,197,6.2,0.195,177,210,0.0449,6.2,0.195,359,24,6,0.15,46,75.5,7,0.005,4,50
328,1020/2,30.9,63.6,7.4,1,49,42,105,193,6.5,0.17,159,220,0.042,6.5,0.17,338,24,6,0.15,46,75.5,7,0.005,4,50
331,1020/3,30.9,62,7.1,2,52,44,108,197,6.5,0.19,181,220,0.0424,6.5,0.19,340,25,6,0.15,46,75.5,7,0.005,4,50
334,1021/1,30.5,58.9,7.2,0,30,22,83,151,6.4,0.105,3,81,0.01981,6.4,0.105,7,14,6.5,0.15,3,45.5,7,0.005,4,50
337,1021/2,30.4,56.5,7.2,0,30,22,83,152,6.6,0.105,3,77,0.0203,6.6,0.105,7,14,6.5,0.15,3,45.5,7,0.005,4,50
340,1021/3,30.4,56.9,7.3,0,29,21,83,151,6.5,0.11,3,78,0.0205,6.5,0.11,8,14,6.5,0.15,3,45.5,7.3,0.005,4,50
343,1023/1,30.5,68.6,7.4,0,44,37,99,181,6.3,0.15,1,54,0.0217,6.3,0.15,3,9,6.5,0.15,3,45.5,7.2,0.005,4,50
346,1023/2,30.5,62,7.7,0,45,37,100,183,6.3,0.145,1,60,0.0217,6.3,0.145,3,9,6.5,0.15,3,45.5,7,0.005,4,50
349,1023/3,30.2,63.6,7.9,0,45,37,100,183,6.3,0.14,1,59,0.01967,6.3,0.14,3,9,6.5,0.15,3,45.5,7.4,0.005,4,50
352,1053/1,29.9,52.6,6.5,0,31,24,85,155,4.5,0.05,5,22,0.0301,4.5,0.05,4,5,4.5,0.07,3,30,7,0.005,4,50
355,1053/2,29.9,47.8,5.8,0,31,23,84,153,4.6,0.055,5,23,0.0312,4.6,0.055,5,5,4.5,0.07,3,30,7,0.005,4,50
358,1053/3,30,56.5,5.8,0,31,23,84,154,4.6,0.055,5,23,0.0302,4.6,0.055,4,5,4.5,0.07,3,30,7,0.005,4,50
361,1054/1,30.1,49.3,5.8,0,35,28,89,163,4.2,0.045,1,17,0.0489,4.2,0.045,2,5,4,0.05,3,30,6.7,0.005,4,50
364,1054/2,29.9,54,5.8,0,36,28,90,164,4.3,0.045,1,20,0.0496,4.3,0.045,2,5,4,0.05,3,30,6.7,0.005,4,50
367,1054/3,29.9,46.5,6,0,35,27,89,162,4.3,0.045,1,18,0.0482,4.3,0.045,2,5,4,0.05,3,30,6.8,0.005,4,50
370,1055/1,29.9,50.1,6,0,36,28,90,164,4.5,0.095,5,82,0.0423,4.5,0.095,3,15,4.5,0.12,3,30,7,0.005,4,50
373,1055/2,30.3,55.2,6,0,36,29,90,165,4.5,0.1,5,84,0.0407,4.5,0.1,3,15,4.5,0.12,3,30,7,0.005,4,50
376,1055/3,31.9,58.9,5.2,0,37,29,91,167,4.5,0.095,5,87,0.0438,4.5,0.095,3,15,4.5,0.12,3,30,7,0.005,4,50
379,1058/1,31.7,59.5,8.5,0,34,27,88,161,6.4,0.055,1,37,0.0242,6.4,0.055,5,7,6.5,0.07,3,45.5,7.4,0.005,4,50
382,1058/2,31.6,59.5,9,0,35,27,89,163,6.3,0.05,1,42,0.0263,6.3,0.05,5,7,6.5,0.07,3,45.5,7.2,0.005,4,50
385,1058/3,31.4,53.8,9,0,35,28,89,163,6.5,0.05,1,42,0.0275,6.5,0.05,5,7,6.5,0.07,3,45.5,7.7,0.005,4,50
388,1059/1,31.4,53.6,6.4,0,25,17,77,141,4.9,0.11,3,46,0.01987,4.9,0.11,2,9,5,0.12,3,45.5,7,0.005,4,50
391,1059/2,31.5,54.4,5.7,0,25,17,78,142,5.0,0.105,3,48,0.0188,5,0.105,2,9,5,0.12,3,45.5,7,0.005,4,50
394,1059/3,31.3,56.5,5.7,0,25,17,78,141,4.9,0.11,3,49,0.0195,4.9,0.11,2,9,5,0.12,3,45.5,7,0.005,4,50
397,1079/1,30.9,54.4,5.3,0,36,28,90,164,4.5,0.06,4,42,0.0553,4.5,0.06,5,8,5,0.07,3,30,6.6,0.005,4,50
400,1079/2,31,50.8,5.4,0,35,28,89,163,4.5,0.06,4,48,0.0624,4.5,0.06,5,7,5,0.07,3,30,6.4,0.005,4,50
403,1079/3,30.8,51.8,5.6,0,36,28,90,164,4.5,0.07,4,45,0.0562,4.5,0.07,5,7,5,0.07,3,30,6.4,0.005,4,50
406,1080/1,31.4,61.8,6.2,0,27,19,79,145,4.9,0.065,12,57,0.0237,4.9,0.065,5,11,5.5,0.12,3,45.5,7,0.005,4,50
409,1080/2,31.3,58.3,5.9,0,27,19,79,145,5.0,0.065,11,56,0.0213,5,0.065,5,11,5.5,0.12,3,45.5,7,0.005,4,50
412,1080/3,31.2,56.9,6,0,27,19,79,145,5.0,0.06,13,55,0.0237,5,0.06,5,11,5.5,0.12,3,45.5,7,0.005,4,50
415,1082/1,31.2,56.59,28,28,111,104,176,66,6.5,0.045,12,89,0.1528,6.5,0.045,6,18,7,0.07,3,30,7.2,0.005,4,50
418,1082/2,31.2,61.5,9,28,112,105,177,67,6.9,0.05,11,80,0.1722,6.9,0.05,6,18,7,0.07,3,30,7,0.005,4,50
421,1082/3,32.1,61.6,9,23,101,94,165,45,7.1,0.05,13,97,0.1765,7.1,0.05,6,18,7,0.07,3,45.5,7.4,0.005,4,50
424,1083/1,31.6,59.1,7.9,0,29,21,82,150,6.9,0.04,11,99,0.0318,6.9,0.04,5,16,7,0.07,3,30,6.8,0.005,4,50
427,1083/2,31.3,58.3,7,0,29,21,82,150,7.1,0.05,13,93,0.029,7.1,0.05,5,17,7,0.07,3,30,7.6,0.005,4,50
430,1083/3,31.3,62,6.7,0,30,22,83,152,7.1,0.05,12,93,0.0337,7.1,0.05,5,17,7,0.07,3,45.5,7,0.005,4,50
433,1093/1,31.2,58.1,5.3,4,57,49,114,208,4.8,0.13,14,73,0.1045,4.8,0.13,5,13,5,0.15,3,45.5,6.5,0.005,4,50
436,1093/2,31.2,54.4,5.4,4,57,49,114,208,4.8,0.135,12,71,0.1066,4.8,0.135,5,13,5,0.15,3,45.5,6.6,0.005,4,50
439,1093/3,30.8,48.1,5.5,3,53,46,110,200,4.8,0.13,13,70,0.1092,4.8,0.13,5,13,5,0.15,3,45.5,6.4,0.005,4,50
442,1100/1,30.5,56,5.5,0,24,16,76,139,4.3,0.05,9,23,0.022,4.3,0.05,2,5,5,0.05,3,30,7,0.005,4,50
445,1100/2,30.4,59.5,5.3,0,24,16,77,140,4.4,0.05,9,22,0.0231,4.4,0.05,2,5,5,0.05,3,30,6.8,0.005,4,50
448,1100/3,30.4,58.5,5.7,0,24,16,77,140,4.3,0.05,10,23,0.0227,4.3,0.05,2,5,5,0.05,3,30,7,0.005,4,50
451,1103/1,30.5,54,6,0,30,22,83,152,4.9,0.07,16,140,0.0341,4.9,0.07,10,23,4.5,0.12,6.5,45.5,7,0.005,4,50
454,1103/2,30.6,60.5,6.1,0,31,23,84,154,4.9,0.08,17,150,0.0346,4.9,0.08,10,21,4.5,0.12,6.5,45.5,7,0.005,4,50
457,1103/3,30.4,59.5,6.4,0,31,24,85,155,5.1,0.075,15,150,0.0342,5.1,0.075,11,22,4.5,0.12,6.5,45.5,7,0.005,4,50
